500,0.254,0.2465,1.3432,0.058
1000,0.7912,0.7751,2.0162,0.0762
2000,7.8519,6.8435,13.7853,0.4099
3000,14.795,9.5306,10.3317,0.323
4000,16.8835,14.9354,10.847,0.4794
5000,24.0473,25.0886,11.2591,0.4707
